Id,Label,timeset,componentid,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
152,6077,,0,8,8,16,8,8,16
153,6611,,0,8,8,16,8,8,16
154,8672,,0,8,8,16,8,8,16
155,19955,,0,8,8,16,8,8,16
156,21832,,0,8,8,16,8,8,16
157,3316,,0,2,2,4,2,2,4
158,9759,,0,1,1,2,1,1,2
159,11865,,0,1,1,2,1,1,2
160,5052,,0,29,29,58,29,29,58
161,899,,0,3,3,6,3,3,6
162,1796,,0,2,2,4,2,2,4
163,2287,,0,14,14,28,14,14,28
164,3096,,0,12,12,24,12,12,24
165,3386,,0,11,11,22,11,11,22
166,4472,,0,4,4,8,4,4,8
167,5346,,0,20,20,40,20,20,40
168,5740,,0,1,1,2,1,1,2
169,6094,,0,4,4,8,4,4,8
170,6376,,0,2,2,4,2,2,4
171,9124,,0,24,24,48,24,24,48
172,10235,,0,13,13,26,13,13,26
173,10427,,0,8,8,16,8,8,16
174,10597,,0,6,6,12,6,6,12
175,15159,,0,4,4,8,4,4,8
176,16148,,0,18,18,36,18,18,36
177,16741,,0,7,7,14,7,7,14
178,18235,,0,1,1,2,1,1,2
179,18549,,0,1,1,2,1,1,2
180,19297,,0,16,16,32,16,16,32
181,20511,,0,32,32,64,32,32,64
182,20595,,0,9,9,18,9,9,18
183,20613,,0,10,10,20,10,10,20
184,24371,,0,22,22,44,22,22,44
185,24731,,0,1,1,2,1,1,2
186,25102,,0,7,7,14,7,7,14
187,25271,,0,16,16,32,16,16,32
188,25396,,0,23,23,46,23,23,46
189,22415,,0,12,12,24,12,12,24
190,23297,,0,5,5,10,5,5,10
191,6375,,0,5,5,10,5,5,10
192,10519,,0,3,3,6,3,3,6
193,727,,0,6,6,12,6,6,12
194,11861,,0,17,17,34,17,17,34
195,18580,,0,2,2,4,2,2,4
196,18623,,0,1,1,2,1,1,2
197,20217,,0,3,3,6,3,3,6
198,25436,,0,3,3,6,3,3,6
199,7442,,0,18,18,36,18,18,36
200,13955,,0,12,12,24,12,12,24
201,15235,,0,8,8,16,8,8,16
202,23967,,0,15,15,30,15,15,30
203,6732,,0,7,7,14,7,7,14
204,17207,,0,10,10,20,10,10,20
205,18286,,0,7,7,14,7,7,14
206,12806,,0,6,6,12,6,6,12
207,4027,,0,1,1,2,1,1,2
208,7450,,0,4,4,8,4,4,8
209,23614,,0,26,26,52,26,26,52
210,23151,,0,10,10,20,10,10,20
211,3178,,0,5,5,10,5,5,10
212,941,,0,9,9,18,9,9,18
213,13712,,0,7,7,14,7,7,14
214,16727,,0,7,7,14,7,7,14
215,22321,,0,7,7,14,7,7,14
216,23383,,0,7,7,14,7,7,14
217,25442,,0,8,8,16,8,8,16
218,5634,,0,2,2,4,2,2,4
219,1658,,0,6,6,12,6,6,12
220,4822,,0,2,2,4,2,2,4
221,6864,,0,2,2,4,2,2,4
222,7926,,0,9,9,18,9,9,18
223,10268,,0,7,7,14,7,7,14
224,12971,,0,1,1,2,1,1,2
225,18600,,0,4,4,8,4,4,8
226,20421,,0,3,3,6,3,3,6
227,20886,,0,2,2,4,2,2,4
228,21048,,0,6,6,12,6,6,12
229,22393,,0,5,5,10,5,5,10
230,23186,,0,6,6,12,6,6,12
231,23214,,0,4,4,8,4,4,8
232,23298,,0,2,2,4,2,2,4
233,23945,,0,3,3,6,3,3,6
234,24939,,0,3,3,6,3,3,6
235,2368,,0,9,9,18,9,9,18
236,22366,,0,19,19,38,19,19,38
237,18511,,0,9,9,18,9,9,18
238,1310,,0,11,11,22,11,11,22
239,4700,,0,2,2,4,2,2,4
240,5606,,0,2,2,4,2,2,4
241,1386,,0,3,3,6,3,3,6
242,1738,,0,3,3,6,3,3,6
243,2566,,0,3,3,6,3,3,6
244,2720,,0,3,3,6,3,3,6
245,9870,,0,3,3,6,3,3,6
246,16779,,0,2,2,4,2,2,4
247,24475,,0,3,3,6,3,3,6
248,25931,,0,10,10,20,10,10,20
249,10243,,0,14,14,28,14,14,28
250,8053,,0,3,3,6,3,3,6
251,8517,,0,7,7,14,7,7,14
252,11785,,0,21,21,42,21,21,42
253,24620,,0,3,3,6,3,3,6
254,5125,,0,3,3,6,3,3,6
255,20850,,0,15,15,30,15,15,30
256,12101,,0,12,12,24,12,12,24
257,1023,,0,29,29,58,29,29,58
258,2512,,0,3,3,6,3,3,6
259,20924,,0,8,8,16,8,8,16
260,1985,,0,2,2,4,2,2,4
261,9763,,0,4,4,8,4,4,8
262,21657,,0,1,1,2,1,1,2
263,2710,,0,33,33,66,33,33,66
264,62,,0,7,7,14,7,7,14
265,18757,,0,8,8,16,8,8,16
266,22184,,0,7,7,14,7,7,14
267,23708,,0,16,16,32,16,16,32
268,1765,,0,8,8,16,8,8,16
269,3032,,0,12,12,24,12,12,24
270,5302,,0,11,11,22,11,11,22
271,7383,,0,13,13,26,13,13,26
272,7768,,0,10,10,20,10,10,20
273,13276,,0,26,26,52,26,26,52
274,17266,,0,9,9,18,9,9,18
275,14967,,0,5,5,10,5,5,10
276,25408,,0,4,4,8,4,4,8
277,11891,,0,4,4,8,4,4,8
278,20243,,0,4,4,8,4,4,8
279,2752,,0,4,4,8,4,4,8
280,10055,,0,17,17,34,17,17,34
281,4241,,0,18,18,36,18,18,36
282,23939,,0,17,17,34,17,17,34
283,639,,0,7,7,14,7,7,14
284,6941,,0,5,5,10,5,5,10
285,23458,,0,4,4,8,4,4,8
286,19233,,0,3,3,6,3,3,6
287,733,,0,2,2,4,2,2,4
288,20597,,0,2,2,4,2,2,4
289,3171,,0,1,1,2,1,1,2
290,19149,,0,1,1,2,1,1,2
291,19340,,0,11,11,22,11,11,22
292,20100,,0,12,12,24,12,12,24
293,4748,,0,19,19,38,19,19,38
294,17439,,0,29,29,58,29,29,58
295,9755,,0,31,31,62,31,31,62
296,5621,,0,22,22,44,22,22,44
297,1254,,0,3,3,6,3,3,6
298,2250,,0,17,17,34,17,17,34
299,7717,,0,17,17,34,17,17,34
300,11015,,0,22,22,44,22,22,44
301,13714,,0,17,17,34,17,17,34
302,14767,,0,17,17,34,17,17,34
303,18971,,0,17,17,34,17,17,34
304,19216,,0,17,17,34,17,17,34
305,20534,,0,17,17,34,17,17,34
306,25205,,0,17,17,34,17,17,34
307,8335,,0,9,9,18,9,9,18
308,13322,,0,4,4,8,4,4,8
309,18619,,0,9,9,18,9,9,18
310,18751,,0,8,8,16,8,8,16
311,5385,,0,13,13,26,13,13,26
312,15305,,0,6,6,12,6,6,12
313,4255,,0,5,5,10,5,5,10
314,4771,,0,6,6,12,6,6,12
315,5251,,0,6,6,12,6,6,12
316,18256,,0,9,9,18,9,9,18
317,18337,,0,9,9,18,9,9,18
318,14123,,0,13,13,26,13,13,26
319,6823,,0,21,21,42,21,21,42
320,6465,,0,5,5,10,5,5,10
321,11563,,0,1,1,2,1,1,2
322,15891,,0,5,5,10,5,5,10
323,17385,,0,18,18,36,18,18,36
324,6172,,0,6,6,12,6,6,12
325,8592,,0,6,6,12,6,6,12
326,19464,,0,2,2,4,2,2,4
327,23968,,0,2,2,4,2,2,4
328,2620,,0,8,8,16,8,8,16
329,5712,,0,14,14,28,14,14,28
330,14003,,0,6,6,12,6,6,12
331,18227,,0,4,4,8,4,4,8
332,20168,,0,10,10,20,10,10,20
333,13847,,0,7,7,14,7,7,14
334,7615,,0,7,7,14,7,7,14
335,24568,,0,8,8,16,8,8,16
336,15244,,0,59,59,118,59,59,118
337,24453,,0,5,5,10,5,5,10
338,6219,,0,3,3,6,3,3,6
339,18160,,0,3,3,6,3,3,6
340,23038,,0,33,33,66,33,33,66
341,2501,,0,10,10,20,10,10,20
342,14615,,0,10,10,20,10,10,20
343,5717,,0,9,9,18,9,9,18
344,13371,,0,4,4,8,4,4,8
345,17187,,0,5,5,10,5,5,10
346,8552,,0,5,5,10,5,5,10
347,1595,,0,1,1,2,1,1,2
348,1910,,0,2,2,4,2,2,4
349,2293,,0,3,3,6,3,3,6
350,4554,,0,2,2,4,2,2,4
351,9316,,0,2,2,4,2,2,4
352,16498,,0,4,4,8,4,4,8
353,17939,,0,1,1,2,1,1,2
354,21587,,0,3,3,6,3,3,6
355,24160,,0,2,2,4,2,2,4
356,25354,,0,4,4,8,4,4,8
357,7350,,0,19,19,38,19,19,38
358,1941,,0,7,7,14,7,7,14
359,15846,,0,10,10,20,10,10,20
360,22691,,0,77,77,154,77,77,154
361,23452,,0,22,22,44,22,22,44
362,18487,,0,27,27,54,27,27,54
363,11241,,0,49,49,98,49,49,98
364,12860,,0,3,3,6,3,3,6
365,21707,,0,3,3,6,3,3,6
366,25053,,0,9,9,18,9,9,18
367,21432,,0,18,18,36,18,18,36
368,22834,,0,6,6,12,6,6,12
369,17850,,0,1,1,2,1,1,2
370,20620,,0,1,1,2,1,1,2
371,12380,,0,3,3,6,3,3,6
372,22275,,0,6,6,12,6,6,12
373,6023,,0,11,11,22,11,11,22
374,19682,,0,4,4,8,4,4,8
375,5107,,0,18,18,36,18,18,36
376,17626,,0,16,16,32,16,16,32
377,3909,,0,17,17,34,17,17,34
378,6468,,0,6,6,12,6,6,12
379,10711,,0,23,23,46,23,23,46
380,14864,,0,10,10,20,10,10,20
381,4624,,0,12,12,24,12,12,24
382,3310,,0,16,16,32,16,16,32
383,10096,,0,18,18,36,18,18,36
384,1620,,0,7,7,14,7,7,14
385,3922,,0,10,10,20,10,10,20
386,9133,,0,1,1,2,1,1,2
387,9895,,0,1,1,2,1,1,2
388,9907,,0,10,10,20,10,10,20
389,11791,,0,3,3,6,3,3,6
390,18457,,0,1,1,2,1,1,2
391,19131,,0,1,1,2,1,1,2
392,19997,,0,1,1,2,1,1,2
393,21491,,0,20,20,40,20,20,40
394,22426,,0,6,6,12,6,6,12
395,22791,,0,2,2,4,2,2,4
396,25158,,0,3,3,6,3,3,6
397,25316,,0,6,6,12,6,6,12
398,14627,,0,5,5,10,5,5,10
399,4575,,0,19,19,38,19,19,38
400,3441,,0,6,6,12,6,6,12
401,1172,,0,8,8,16,8,8,16
402,26194,,0,2,2,4,2,2,4
403,375,,0,1,1,2,1,1,2
404,1838,,0,2,2,4,2,2,4
405,12733,,0,10,10,20,10,10,20
406,13352,,0,8,8,16,8,8,16
407,7645,,0,6,6,12,6,6,12
408,5287,,0,10,10,20,10,10,20
409,482,,0,13,13,26,13,13,26
410,15353,,0,4,4,8,4,4,8
411,3449,,0,2,2,4,2,2,4
412,17979,,0,5,5,10,5,5,10
413,3593,,0,6,6,12,6,6,12
414,6513,,0,2,2,4,2,2,4
415,25138,,0,2,2,4,2,2,4
416,17275,,0,1,1,2,1,1,2
417,9471,,0,24,24,48,24,24,48
418,17944,,0,3,3,6,3,3,6
419,17603,,0,4,4,8,4,4,8
420,17414,,0,9,9,18,9,9,18
421,11026,,0,6,6,12,6,6,12
422,11868,,0,3,3,6,3,3,6
423,3730,,0,3,3,6,3,3,6
424,21321,,0,6,6,12,6,6,12
425,22376,,0,4,4,8,4,4,8
426,24295,,0,4,4,8,4,4,8
427,9713,,0,2,2,4,2,2,4
428,16032,,0,16,16,32,16,16,32
429,3420,,0,3,3,6,3,3,6
430,10130,,0,15,15,30,15,15,30
431,14265,,0,37,37,74,37,37,74
432,2485,,0,2,2,4,2,2,4
433,2949,,0,9,9,18,9,9,18
434,3937,,0,4,4,8,4,4,8
435,23382,,0,30,30,60,30,30,60
436,19423,,0,63,63,126,63,63,126
437,21012,,0,81,81,162,81,81,162
438,15003,,0,62,62,124,62,62,124
439,11082,,0,12,12,24,12,12,24
440,4846,,0,22,22,44,22,22,44
441,824,,0,13,13,26,13,13,26
442,2133,,0,12,12,24,12,12,24
443,12928,,0,11,11,22,11,11,22
444,14419,,0,14,14,28,14,14,28
445,17330,,0,17,17,34,17,17,34
446,22779,,0,11,11,22,11,11,22
447,45,,0,49,49,98,49,49,98
448,46,,0,42,42,84,42,42,84
449,570,,0,48,48,96,48,48,96
450,773,,0,55,55,110,55,55,110
451,1653,,0,56,56,112,56,56,112
452,2212,,0,47,47,94,47,47,94
453,2741,,0,65,65,130,65,65,130
454,2952,,0,45,45,90,45,45,90
455,3372,,0,49,49,98,49,49,98
456,4046,,0,1,1,2,1,1,2
457,4164,,0,54,54,108,54,54,108
458,4511,,0,45,45,90,45,45,90
459,4513,,0,43,43,86,43,43,86
460,5262,,0,1,1,2,1,1,2
461,6179,,0,46,46,92,46,46,92
462,6830,,0,45,45,90,45,45,90
463,7956,,0,56,56,112,56,56,112
464,8879,,0,45,45,90,45,45,90
465,11472,,0,45,45,90,45,45,90
466,12365,,0,77,77,154,77,77,154
467,12496,,0,48,48,96,48,48,96
468,12678,,0,4,4,8,4,4,8
469,12781,,0,57,57,114,57,57,114
470,12851,,0,45,45,90,45,45,90
471,14540,,0,46,46,92,46,46,92
472,14807,,0,60,60,120,60,60,120
473,15659,,0,45,45,90,45,45,90
474,16159,,0,4,4,8,4,4,8
475,17655,,0,66,66,132,66,66,132
476,17692,,0,45,45,90,45,45,90
477,18894,,0,47,47,94,47,47,94
478,19961,,0,45,45,90,45,45,90
479,20108,,0,45,45,90,45,45,90
480,20562,,0,45,45,90,45,45,90
481,20635,,0,47,47,94,47,47,94
482,21281,,0,79,79,158,79,79,158
483,21508,,0,65,65,130,65,65,130
484,21847,,0,48,48,96,48,48,96
485,22798,,0,6,6,12,6,6,12
486,22887,,0,47,47,94,47,47,94
487,24955,,0,51,51,102,51,51,102
488,25346,,0,56,56,112,56,56,112
489,25758,,0,51,51,102,51,51,102
490,934,,0,7,7,14,7,7,14
491,5579,,0,1,1,2,1,1,2
492,10550,,0,4,4,8,4,4,8
493,17331,,0,1,1,2,1,1,2
494,20644,,0,6,6,12,6,6,12
495,22497,,0,4,4,8,4,4,8
496,23387,,0,2,2,4,2,2,4
497,23907,,0,5,5,10,5,5,10
498,24924,,0,22,22,44,22,22,44
499,25080,,0,14,14,28,14,14,28
500,23107,,0,9,9,18,9,9,18
501,12927,,0,16,16,32,16,16,32
502,1728,,0,4,4,8,4,4,8
503,5656,,0,4,4,8,4,4,8
504,6082,,0,1,1,2,1,1,2
505,18488,,0,4,4,8,4,4,8
506,22610,,0,4,4,8,4,4,8
507,8823,,0,24,24,48,24,24,48
508,8261,,0,18,18,36,18,18,36
509,11464,,0,14,14,28,14,14,28
510,17997,,0,14,14,28,14,14,28
511,3231,,0,15,15,30,15,15,30
512,4705,,0,11,11,22,11,11,22
513,4773,,0,15,15,30,15,15,30
514,6411,,0,15,15,30,15,15,30
515,8549,,0,11,11,22,11,11,22
516,16352,,0,15,15,30,15,15,30
517,19808,,0,11,11,22,11,11,22
518,21931,,0,11,11,22,11,11,22
519,22369,,0,11,11,22,11,11,22
520,3719,,0,11,11,22,11,11,22
521,5067,,0,16,16,32,16,16,32
522,6907,,0,16,16,32,16,16,32
523,8072,,0,11,11,22,11,11,22
524,8375,,0,11,11,22,11,11,22
525,9025,,0,16,16,32,16,16,32
526,13649,,0,16,16,32,16,16,32
527,19545,,0,11,11,22,11,11,22
528,25060,,0,11,11,22,11,11,22
529,25289,,0,16,16,32,16,16,32
530,4632,,0,12,12,24,12,12,24
531,14512,,0,14,14,28,14,14,28
532,16594,,0,19,19,38,19,19,38
533,20774,,0,15,15,30,15,15,30
534,3839,,0,15,15,30,15,15,30
535,16674,,0,13,13,26,13,13,26
536,13164,,0,13,13,26,13,13,26
537,2560,,0,9,9,18,9,9,18
538,4146,,0,13,13,26,13,13,26
539,10926,,0,9,9,18,9,9,18
540,12553,,0,9,9,18,9,9,18
541,18668,,0,9,9,18,9,9,18
542,13837,,0,5,5,10,5,5,10
543,17250,,0,5,5,10,5,5,10
544,7384,,0,2,2,4,2,2,4
545,2115,,0,17,17,34,17,17,34
546,11910,,0,2,2,4,2,2,4
547,10532,,0,11,11,22,11,11,22
548,8721,,0,8,8,16,8,8,16
549,15005,,0,8,8,16,8,8,16
550,16022,,0,8,8,16,8,8,16
551,18648,,0,4,4,8,4,4,8
552,16174,,0,4,4,8,4,4,8
553,17589,,0,1,1,2,1,1,2
554,12085,,0,9,9,18,9,9,18
555,1186,,0,17,17,34,17,17,34
556,8503,,0,14,14,28,14,14,28
557,13597,,0,17,17,34,17,17,34
558,7209,,0,3,3,6,3,3,6
559,7844,,0,13,13,26,13,13,26
560,11148,,0,10,10,20,10,10,20
561,16722,,0,7,7,14,7,7,14
562,16726,,0,3,3,6,3,3,6
563,16876,,0,7,7,14,7,7,14
564,1694,,0,10,10,20,10,10,20
565,731,,0,1,1,2,1,1,2
566,21860,,0,8,8,16,8,8,16
567,20662,,0,7,7,14,7,7,14
568,22837,,0,7,7,14,7,7,14
569,9643,,0,4,4,8,4,4,8
570,15683,,0,10,10,20,10,10,20
571,19923,,0,10,10,20,10,10,20
572,20664,,0,10,10,20,10,10,20
573,21824,,0,10,10,20,10,10,20
574,25359,,0,10,10,20,10,10,20
575,580,,0,2,2,4,2,2,4
576,6431,,0,2,2,4,2,2,4
577,22177,,0,21,21,42,21,21,42
578,1000,,0,25,25,50,25,25,50
579,25948,,0,4,4,8,4,4,8
580,676,,0,26,26,52,26,26,52
581,13220,,0,11,11,22,11,11,22
582,21798,,0,8,8,16,8,8,16
583,16729,,0,1,1,2,1,1,2
584,2049,,0,2,2,4,2,2,4
585,9915,,0,2,2,4,2,2,4
586,6774,,0,27,27,54,27,27,54
587,8049,,0,8,8,16,8,8,16
588,11964,,0,13,13,26,13,13,26
589,15538,,0,14,14,28,14,14,28
590,16694,,0,9,9,18,9,9,18
591,22457,,0,30,30,60,30,30,60
592,231,,0,30,30,60,30,30,60
593,2980,,0,24,24,48,24,24,48
594,5578,,0,7,7,14,7,7,14
595,9889,,0,20,20,40,20,20,40
596,22937,,0,18,18,36,18,18,36
597,365,,0,5,5,10,5,5,10
598,14552,,0,5,5,10,5,5,10
599,15585,,0,5,5,10,5,5,10
600,18579,,0,13,13,26,13,13,26
601,5434,,0,4,4,8,4,4,8
602,10383,,0,4,4,8,4,4,8
603,13319,,0,4,4,8,4,4,8
604,16115,,0,6,6,12,6,6,12
605,21583,,0,4,4,8,4,4,8
606,10039,,0,11,11,22,11,11,22
607,5510,,0,7,7,14,7,7,14
608,6963,,0,12,12,24,12,12,24
609,6810,,0,3,3,6,3,3,6
610,13636,,0,2,2,4,2,2,4
611,16696,,0,2,2,4,2,2,4
612,17739,,0,3,3,6,3,3,6
613,19605,,0,2,2,4,2,2,4
614,9482,,0,21,21,42,21,21,42
615,2982,,0,3,3,6,3,3,6
616,2558,,0,2,2,4,2,2,4
617,21910,,0,11,11,22,11,11,22
618,18910,,0,2,2,4,2,2,4
619,18065,,0,8,8,16,8,8,16
620,5838,,0,2,2,4,2,2,4
621,11572,,0,3,3,6,3,3,6
622,21630,,0,2,2,4,2,2,4
623,12422,,0,3,3,6,3,3,6
624,21379,,0,22,22,44,22,22,44
625,25940,,0,2,2,4,2,2,4
626,24023,,0,9,9,18,9,9,18
627,950,,0,7,7,14,7,7,14
628,6056,,0,10,10,20,10,10,20
629,15528,,0,4,4,8,4,4,8
630,163,,0,2,2,4,2,2,4
631,10910,,0,3,3,6,3,3,6
632,25777,,0,9,9,18,9,9,18
633,345,,0,13,13,26,13,13,26
634,1234,,0,7,7,14,7,7,14
635,1841,,0,6,6,12,6,6,12
636,1997,,0,8,8,16,8,8,16
637,2404,,0,8,8,16,8,8,16
638,2450,,0,2,2,4,2,2,4
639,3409,,0,16,16,32,16,16,32
640,5134,,0,7,7,14,7,7,14
641,9341,,0,4,4,8,4,4,8
642,12503,,0,9,9,18,9,9,18
643,13060,,0,9,9,18,9,9,18
644,16611,,0,6,6,12,6,6,12
645,18208,,0,24,24,48,24,24,48
646,18543,,0,8,8,16,8,8,16
647,22421,,0,6,6,12,6,6,12
648,23363,,0,10,10,20,10,10,20
649,23628,,0,6,6,12,6,6,12
650,25251,,0,2,2,4,2,2,4
651,10549,,0,4,4,8,4,4,8
652,2307,,0,2,2,4,2,2,4
653,6934,,0,14,14,28,14,14,28
654,3066,,0,6,6,12,6,6,12
655,7991,,0,4,4,8,4,4,8
656,8116,,0,20,20,40,20,20,40
657,11609,,0,8,8,16,8,8,16
658,15384,,0,2,2,4,2,2,4
659,16946,,0,3,3,6,3,3,6
660,17612,,0,9,9,18,9,9,18
661,13364,,0,8,8,16,8,8,16
662,4036,,0,3,3,6,3,3,6
663,4115,,0,5,5,10,5,5,10
664,12938,,0,8,8,16,8,8,16
665,13032,,0,2,2,4,2,2,4
666,19215,,0,2,2,4,2,2,4
667,22726,,0,3,3,6,3,3,6
668,22966,,0,4,4,8,4,4,8
669,23511,,0,4,4,8,4,4,8
670,25528,,0,3,3,6,3,3,6
671,25836,,0,8,8,16,8,8,16
672,3872,,0,8,8,16,8,8,16
673,12409,,0,3,3,6,3,3,6
674,392,,0,1,1,2,1,1,2
675,3173,,0,1,1,2,1,1,2
676,3853,,0,1,1,2,1,1,2
677,3927,,0,2,2,4,2,2,4
678,3939,,0,18,18,36,18,18,36
679,5218,,0,2,2,4,2,2,4
680,5230,,0,2,2,4,2,2,4
681,6030,,0,4,4,8,4,4,8
682,7504,,0,11,11,22,11,11,22
683,7601,,0,2,2,4,2,2,4
684,8718,,0,2,2,4,2,2,4
685,11621,,0,7,7,14,7,7,14
686,12498,,0,2,2,4,2,2,4
687,12691,,0,2,2,4,2,2,4
688,15251,,0,1,1,2,1,1,2
689,16020,,0,7,7,14,7,7,14
690,16261,,0,1,1,2,1,1,2
691,17156,,0,3,3,6,3,3,6
692,18622,,0,2,2,4,2,2,4
693,19059,,0,6,6,12,6,6,12
694,19525,,0,3,3,6,3,3,6
695,20122,,0,4,4,8,4,4,8
696,20432,,0,5,5,10,5,5,10
